,ch,py,en
3569,琅,lang2,(gem)/tinkling of pendants
3570,簸,bo3/bo4,"to winnow, dust pan/toss (as waves)"
3571,禾,he2,cereal/grain
3572,铢,zhu1,forty-eighth part of a tael
3573,璧,bi4,piece of jade with hole in center
3574,娠,shen1,pregnant
3575,彗,hui4,comet
3576,惋,wan3,"regret, be sorry/alarmed"
3577,腋,ye4,armpit
3578,螂,lang2,dragonfly/mantis
3579,阪,ban3,a slope/hillside
3580,掣,che4,pull/obstruct/hinder/draw
3581,劾,he2,impeach
3582,沥,li4,drip
3583,粱,liang2,sorghum
3584,惮,dan4,dread/fear/dislike
3585,氖,nai3,neon
3586,捎,shao1,bring or take (along)
3587,羔,gao1,lamb
3588,俟,si4,until/wait for
3589,渲,xuan4,wash (color)
3590,榄,lan3,olive
3591,茧,jian3,cocoon
3592,霓,ni2,rainbow
3593,鹉,wu3,parrot
3594,胥,xu1,all/assist/to store
3595,琶,pa2,(mus. instr.)
3596,撬,qiao4,to lift
3597,橘,ju2,tangerine
3598,笆,ba1,an article made of bamboo strips/fence
3599,痊,quan2,recover (from illness)
3600,亟,ji2/qi4,"urgent, repeatedly/frequently"
3601,渭,wei4,name of a river
3602,狙,ju1,(ape)/to spy/lie in ambush
3603,珂,ke1,jade-like stone
3604,刨,bao4/pao2,"a plane/to plane/level or make smooth, a plane/to plane, eliminate/to dig/to question"
3605,蜕,tui4,exuviae of insects or reptiles
3606,谚,yan4,proverb
3607,憧,chong1,irresolute/unsettled
3608,瞟,piao3,cast a glance
3609,馒,man2,steamed bread
3610,拗,ao4/niu4,"bend/break in two, stubborn/contrary"
3611,帚,zhou3,broom
3612,钗,chai1,hairpin
3613,喋,die2,flowing flood/to chatter
3614,箫,xiao1,(flute)/pan pipes/xiao - a vertical bamboo flute
3615,刁,diao1,artful/wicked
3616,怦,peng1,impulsive
3617,缭,liao2,lines for a sail/wind round
3618,迥,jiong3,distant
3619,湄,mei2,brink/edge
3620,磐,pan2,firm/stable/rock
3621,渝,yu2,Chongqing
3622,冗,rong3,extraneous
3623,闵,min3,(surname)/feel compassion for
3624,噶,ga2,(phonetic)
3625,黏,nian2,sticky
3626,蕃,fan2/fan1,flourishing/to reproduce
3627,弼,bi4,assist
3628,驿,yi4,remount stations
3629,淄,zi1,black/name of a river
3630,饺,jiao3,dumplings with meat filling
3631,踞,ju4,be based upon/squat
3632,韬,tao1,bow case/to cover
3633,婷,ting2,graceful
3634,唆,suo1,incite/suck
3635,蜒,yan2,slug
3636,偎,wei1,to cuddle
3637,榨,zha4,salted vegetable/to extract
3638,漉,lu4,strain liquids
3639,碉,diao1,Tibetan stone house
3640,皈,gui1,comply with/follow
3641,矜,jin1,boast/esteem/sympathize
3642,笈,ji2,trunks (for books)
3643,枷,jia1,cangue
3644,鲨,sha1,shark
3645,蹑,nie4,chase/step/tread
3646,瀚,han4,ocean/vastness
3647,酪,lao4,Chinese cream/cheese
3648,癖,pi3,habit/hobby
3649,烬,jin4,ashes/embers
3650,揩,kai1,wipe
3651,炙,zhi4,broil
3652,蜷,quan2,Melania libertina/wriggle (as a worm)
3653,侏,zhu1,dwarf
3654,凋,diao1,withered
3655,漪,yi1,ripple
3656,悻,xing4,angry
3657,蹋,ta4,step on
3658,讪,shan4,abuse/slander
3659,搐,chu4,lead/pull
3660,碘,dian3,iodine
3661,帛,bo2,silk
3662,诠,quan2,explain/comment
3663,碾,nian3,stone roller
3664,擂,lei2/lei4,"beat/to grind, beat (a drum)"
3665,苯,ben3,benzene
3666,诃,he1,to blame/ridicule in loud voice
3667,铎,duo2,large ancient bell
3668,戊,wu4,5th heavenly stem
3669,荀,xun2,(surname)
3670,驹,ju1,colt
3671,攫,jue2,seize (bird or animal)
3672,憬,jing3,awaken
3673,哽,geng3,choking
3674,踵,zhong3,arrive/follow/heel
3675,蟒,mang3,Python molurus
3676,漾,yang4,d (23rd)/ripples
3677,啧,ze2,(interj. of admiration or of disgust)/to click one's tongue/to attempt to (find an opportunity to) speak
3678,吮,shun3,to suck
3679,楠,nan2,Machilus nanmu
3680,氟,fu2,fluorine
3681,怂,song3,arouse
3682,叼,diao1,(v) hold sth in the mouth
3683,竣,jun4,complete/finish
3684,偕,jie1/xie2,"in company with, in company with"
3685,漩,xuan2,eddy
3686,蹭,ceng2/ceng4,"rub, rub against/walk slowly"
3687,翌,yi4,bright/tomorrow
3688,臆,yi4,feelings/opinion/thoughts
3689,挝,zhua1/wo1,beat
3690,绚,xuan4,adorned/swift
3691,崽,zai3,young of animals
3692,糜,mi2,dissolved/rice-gruel/wasted
3693,瘢,ban1,mark/scar on the skin
3694,跤,jiao1,bones of leg/wrestle
3695,阑,lan2,door-screen/exhausted/late
3696,恬,tian2,"quiet, calm, tranquil, peaceful"
3697,豢,huan4,feed pigs and dogs/to rear
3698,汶,wen4,name of a river
3699,跷,qiao1,raise one's foot
3700,琵,pi2,(mus. instr.)
3701,憨,han1,silly/simple-minded
3702,螅,xi1,(intestinal worm)
3703,惴,zhui4,anxious/worried
3704,戟,ji3,a lance with two points
3705,匮,kui4,(surname)/lacking/empty/exhausted
3706,恙,yang4,sickness
3707,抿,min3,purse up (lips)/to smooth
3708,桢,zhen1,evergreen shrub
3709,笺,jian1,letter/note-paper
3710,蛤,ge2/ha2,"clam, frog/toad"
3711,瞳,tong2,pupil of the eye
3712,瓢,piao2,dipper/ladle
3713,秤,cheng3/cheng4,"steel yard/scales, steelyard"
3714,跺,duo4,(v) stamp one's foot
3715,潦,lao3/liao2,flooded/heavy rain
3716,芹,qin2,Chinese celery
3717,哒,da1,(phonetic)/command to a horse/clatter (of horses' hoofs)
3718,饬,chi4,keep in order/stern/to order/direct
3719,栩,xu3,Quercus serrata
3720,曦,xi1,light of day
3721,骷,ku1,skeleton
3722,嫡,di2,first wife/son of first wife
3723,卤,lu3,"brine/salt/gravy, crass/halogen/salt/brine"
3724,丕,pi1,grand
3725,鬓,bin4,temples/hair on the temples
3726,梓,zi3,Catalpa kaempferi
3727,惦,dian4,"think of, remember, miss"
3728,浚,jun4/xun4,deepen/enlighten/profound
3729,藐,miao3,despise/small
3730,荃,quan2,(fragrant plant)
3731,唧,ji1,(onomat.)/to pump (water)
3732,玺,xi3,ruler's seal
3733,汛,xun4,high water/sprinkle water
3734,铐,kao4,"shackles, manacle"
3735,髅,lou2,skull
3736,渤,bo2,Gulf of Chili
3737,箍,gu1,hoop/bind with hoops
3738,馅,xian4,stuffing/forcemeat
3739,汾,fen2,name of a river
3740,戍,shu4,garrison
3741,痔,zhi4,piles/hemorrhoid
3742,褶,xi2/zhe3,"(arch.) court dress, pleat/crease"
3743,聆,ling2,apprehend/hear/listen
3744,涎,xian2,saliva/shamelessly
3745,汞,gong3,mercury
3746,渍,zi4,saturate/soak
3747,奂,huan4,(surname)/excellent
3748,巅,dian1,summit
3749,疣,you2,nodule/wart
3750,傩,nuo2,exorcise demons
3751,逵,kui2,crossroads/thoroughfare
3752,耆,qi2,man of sixty or seventy
3753,蟋,xi1,cricket
3754,鳄,e4,crocodile/alligator
3755,讹,e2,error/exhort/false
3756,膺,ying1,breast/receive
3757,蹿,cuan1,jump up
3758,筏,fa2,raft (of logs)
3759,釜,fu3,kettle/caldron
3760,沂,yi2,name of a river
3761,坯,pi1,unburnt earthenware
3762,峦,luan2,mountain ranges
3763,摒,bing4,arrange/drive off/expel
3764,蟀,shuai4,cricket
3765,撵,nian3,expel
3766,浒,hu3,bank of a river
3767,缤,bin1,helter-skelter/mixed colors/in confusion
3768,嵋,mei2,name of a mountain in Sichuan
3769,珑,long2,tinkling of gem-pendants
3770,苞,bao1,flower calyx/luxuriant/profuse
3771,瑾,jin3,brilliancy (of gems)
3772,钾,jia3,potassium
3773,暧,ai4,obscure/clandestine
3774,赓,geng1,continue (as a song)
3775,叟,sou3,old gentleman
3776,佚,yi4,(surname)/idle
3777,沓,ta4,(surname)/again and again/many
3778,撂,liao4,to leave (it)
3779,蛊,gu3,insanity/poison
3780,甥,sheng1,nephew
3781,璐,lu4,(jade)
3782,晏,yan4,(surname)/late/quiet
3783,瘪,bie3,deflated/shriveled/sunken/empty
3784,漳,zhang1,name of a river
3785,阉,yan1,castrate
3786,蹂,rou2,trample
3787,鳃,sai1,gills of fish
3788,湃,pai4,sound of waves
3789,辘,lu4,windlass
3790,僭,jian4,usurp
3791,鼾,han1,snore
3792,懵,meng3,stupid
3793,镰,lian2,scythe/sickle
3794,寐,mei4,sleep soundly
3795,褚,chu3,(surname)
3796,涧,jian4,mountain stream
3797,蝙,bian1,bat
3798,脐,qi2,navel
3799,辕,yuan2,shafts of cart/yamen
3800,涣,huan4,disperse expansive (of river)
3801,杞,qi3,(willow)/name of a feudal state
3802,煜,yu4,brilliant/glorious
3803,骥,ji4,thoroughbred horse/refined and virtuous
3804,傣,dai3,the Dai minority living in South China
3805,嗳,ai3/ai4,"(interj. of disapproval), (interj. of regret)"
3806,祯,zhen1,auspicious/lucky
3807,酉,you3,10th earthly branch/5-7 p.m.
3808,捺,na4,(downwards-right concave character stroke)/press down firmly
3809,瑕,xia2,blemish/flaw in jade
3810,鑫,xin1,(used in names)
3811,馋,chan2,gluttonous/greedy
3812,窿,long2,cavity/hole
3813,楔,xie1,to wedge/wedge
3814,胱,guang1,bladder
3815,荔,li4,litchi
3816,蟆,ma2/ma,"toad, toad"
3817,湍,tuan1,to rush (of water)
3818,屹,yi4,high and steep
3819,遐,xia2,abandon/distant
3820,轲,ke1,given name of Mencius
3821,镯,zhuo2,bracelet
3822,桦,hua4,Betula japonica
3823,炖,dun4,"stew slowly, stew"
3824,钡,bei4,barium
3825,羚,ling2,antelope
3826,啬,se4,stingy
3827,诩,xu3,brag/harmony/make known
3828,绯,fei1,dark red/purple silk
3829,掖,ye1/ye4,tuck (in)
3830,涸,he2,to dry/to dry up
3831,鸳,yuan1,mandarin duck
3832,塾,shu2,private tutorage
3833,呸,pei1,to spit (in contempt)
3834,抡,lun1/lun2,"whirl (one's arm), select"
3835,擞,sou3,shake/trembling
3836,熹,xi1,bright/warm
3837,坷,ke3,uneven (path)/unfortunate (in life)
3838,瓮,weng4,earthen jar/urn
3839,亘,gen4,extend across/through
3840,嗟,jie1/jue1,"sigh, sigh"
3841,筵,yan2,bamboo mat for sitting
3842,跛,bo3,lame/crippled
3843,汕,shan4,Swatow
3844,欤,yu2,(interrog. part.)
3845,壑,he4,gully
3846,溥,pu3,extensive/pervading
3847,姗,shan1,deprecate/lithe (of woman's walk)
3848,踊,yong3,leap
3849,枭,xiao1,brave/owl/strix uralensis
3850,暄,xuan1,genial and warm
3851,稷,ji4,(millet)
3852,跚,shan1,limp
3853,涟,lian2,ripple/tearful
3854,瀛,ying2,ocean
3855,笙,sheng1,(mus. instr.)
3856,滕,teng2,(surname)/place name
3857,踝,huai2,ankle (bone)
3858,贰,er4,two (fraud-proof)
3859,瞰,kan4,bird's-eye view/glance
3860,恻,ce4,sorrowful
3861,嚏,ti4,sneeze
3862,迢,tiao2,remote
3863,獗,jue2,unruly/rude
3864,邯,han2,name of a district in Hebei
3865,睑,jian3,eyelid
3866,赡,shan4,to support/provide for
3867,萦,ying2,wind around
3868,珥,er3,pearl or jade earring
3869,酮,tong2,ketone
3870,璞,pu2,unpolished gem
3871,羹,geng1,soup
3872,缄,jian1,letters/to close/seal
3873,晾,liang4,to dry in the air
3874,俸,feng4,salary
3875,媲,pi4,to match/to pair
3876,鸾,luan2,(mythical bird)
3877,恿,yong3,urge/incite
3878,蜿,wan1,to move (as snake)
3879,犊,du2,calf/sacrificial victim
3880,讷,ne4,large/speak cautiously
3881,扈,hu4,retinue
3882,蜈,wu2,centipede
3883,翟,di2/zhai2,"long-tail pheasant, (surname)"
3884,藕,ou3,root of lotus
3885,戌,xu1,11th earthly branch/7-9 p.m.
3886,蓓,bei4,(flower) bud
3887,谩,man2/man4,"deceive, disrespect/neglect/slight"
3888,谀,yu2,flatter
3889,卯,mao3,4th earthly branch/5-7 a.m.
3890,谙,an1,be versed in/know well
3891,岐,qi2,divergent/side road/steep
3892,蝎,xie1,scorpion
3893,荼,tu2,Sonchus oleraceus
3894,镀,du4,-plated/to plate
3895,甄,zhen1,(surname)/to mold
3896,蟾,chan2,moon/(striped) toad
3897,蹊,xi1/qi1,footpath
3898,泞,ning4,muddy
3899,螃,pang2,crab
3900,檬,meng2,lemon
3901,蔷,qiang2,wild rose
3902,羲,xi1,(surname)/name of an emperor
3903,瘸,que2,lame
3904,蘸,zhan4,"to dip in (ink, sauce, etc.)"
3905,蔗,zhe4,sugar cane
3906,傀,gui1/kui3,"grand/strange/exotic, puppet"
3907,蚌,bang4,oysters/mussels
3908,锢,gu4,obstinate disease/restrain/to stop
3909,遽,ju4,hurry/fast/suddenly
3910,邃,sui4,deep/distant/mysterious
3911,恚,hui4,rage
3912,皑,ai2,"white (of snow, etc.)"
3913,锵,qiang1,tinkling of small bells
3914,簌,su4,dense vegetation/sieve
3915,焙,bei4,to dry over a fire/to bake
3916,昊,hao4,clear summer sky/vast
3917,鹳,guan4,crane/stork
3918,睽,kui2,separated/stare
3919,刽,gui4,"amputate, cut off"
3920,鳖,bie1,turtle
3921,噎,ye1,choke
3922,呗,bai4/bei,to chant
3923,寰,huan2,large domain
3924,唷,yo1,(exclamatory part.)
3925,殡,bin4,a funeral/to encoffin a corpse/to carry to burial
3926,淖,nao4,(surname)/slush/mud
3927,诰,gao4,enjoin/grant (a title)
3928,恣,zi4,throw off restraint
3929,睐,lai4,gaze/stare
3930,婵,chan2,beautiful/graceful
3931,榈,lu:2/lv2,palm tree
3932,氦,hai4,helium
3933,靳,jin4,(surname)/martingale/stingy
3934,蛹,yong3,chrysalis/pupa
3935,鸯,yang1,mandarin duck
3936,惬,qie4,cheerful/satisfied
3937,蹙,cu4,urgent/wrinkled/contracted/to kick
3938,诙,hui1,whimsical/humorous
3939,眈,dan1,gaze intently
3940,罡,gang1,(stars)
3941,缮,shan4,make a fair copy of
3942,胤,yin4,heir/inherit
3943,皋,gao1,bank/marsh
3944,蛀,zhu4,termite/to bore (of insects)
3945,偌,ruo4,so/such/to such a degree
3946,疵,ci1,blemish/flaw/defect
3947,绛,jiang4,purple-red
3948,葆,bao3,dense foliage/to cover
3949,黔,qian2,an old name for Guizhou (贵州) province
3950,喙,hui4,beak/to pant
3951,烽,feng1,beacon fire
3952,儡,lei3,injure/puppet
3953,佼,jiao3,handsome
3954,斓,lan2,variegated/parti-colored
3955,嫔,pin2,virtuous woman
3956,颚,e4,jaw/palate
3957,龈,ken3/yin2,"gnaw/bite, gums"
3958,盅,zhong1,cup
3959,娓,wei3,active/comply with
3960,町,ting3/ding1,raised path between fields
3961,芥,jie4,mustard
3962,瘠,ji2,barren/lean
3963,阂,he2,obstruct
3964,挎,kua4,(v) carry on one's arm/(v) carry over one's shoulder or slung on one's side
3965,荟,hui4,flourish
3966,啜,chuo4,drink/taste/sip/suck
3967,垛,duo3/duo4,"battlement/target, pile"
3968,淇,qi2,name of a river
3969,瓒,zan4,libation cup
3970,篓,lou3,deep basket
3971,虱,shi1,louse
3972,跻,ji1,go up
3973,龛,kan1,niche/shrine
3974,蹒,pan2,limp
3975,髯,ran2,beard/whiskers
3976,瞠,cheng1,stare at something beyond reach
3977,痫,xian2,epilepsy/insanity
3978,掂,dian1,weigh in the hand
3979,潼,tong2,high/name of a pass
3980,酰,xian1,(chem.) -acyl/acid radical
3981,镁,mei3,magnesium
3982,灸,jiu3,cauterize
3983,腆,tian3,make strong (as liquors)/virtuous
3984,筱,xiao3,dwarf bamboo/thin bamboo
3985,谆,zhun1,repeatedly (in giving advice)
3986,骋,cheng3,hasten/run/open up/gallop
3987,壬,ren2,9th heavenly stem
3988,茗,ming2,Thea sinensis/young leaves of tea
3989,椋,liang2,fruit
3990,蛔,hui2,roundworm/Ascaris lumbricoides
3991,潺,chan2,flow/trickle (of water)
3992,扉,fei1,door with only one leaf
3993,耘,yun2,to weed
3994,槟,bin1/bing1,"areca/the areca nut palm, areca"
3995,雹,bao2,hail
3996,甬,yong3,5 pecks (M)/Ningpo
3997,谥,shi4,confer such title/posthumous title
3998,淞,song1,name of a river
3999,燎,liao2,singe
4000,蕙,hui4,Coumarouna odorata
4001,蚪,dou3,tadpole
4002,蜻,qing1,dragonfly
4003,郸,dan1,name of a district in Hebei
4004,轶,yi4,disperse/put in order/surpass
4005,狰,zheng1,hideous/fierce-looking
4006,楣,mei2,lintel
4007,捋,lu:3/luo1/lv3,"stroke (beard), strip (cow, leaves, branch)"
4008,涓,juan1,(surname)/brook/to select
4009,荪,sun1,fragrant grass
4010,娄,lou2,(star)/(surname)
4011,麝,she4,musk deer
4012,蚤,zao3,flea
4013,薰,xun1,Coumarouna odorata
4014,醮,jiao4,perform sacrifice
4015,搪,tang2,keep out
4016,谧,mi4,quiet
4017,湮,yan1/yin1,"obscured/submerged, obscured/submerged"
4018,辍,chuo4,stop/cease/suspend
4019,瞌,ke1,doze off/sleepy
4020,梆,bang1,watchman's rattle
4021,樟,zhang1,camphor/Cinnamonum camphara
4022,茉,mo4,jasmine
4023,岖,qu1,rugged
4024,臼,jiu4,mortar
4025,癣,xuan3,ringworm
4026,穑,se4,gather in harvest
4027,玷,dian4,blemish/disgrace/flaw in jade
4028,馍,mo2,small loaf of steamed bread
4029,呷,xia1/ga1,"suck, swallow, drink"
4030,萼,e4,stem and calyx of flower
4031,妩,wu3,flatter/to please
4032,伫,zhu4,wait/look towards/turn one's back on
4033,彤,tong2,(surname)/red
4034,莓,mei2,strawberry
4035,岬,jia3,cape (geog.)
4036,媛,yuan2/yuan4,"a beauty, a beauty"
4037,惆,chou2,forlorn/vexed/disappointed
4038,啾,jiu1,wailing of child/chirp
4039,囔,nang1,"muttering, indistinct speech"
4040,蜓,ting2,dragonfly
4041,孺,ru2,(surname)/child
4042,徇,xun4,"buried with dead/die for a cause, follow/quick"
4043,徵,zheng1/zhi3,"levy (troops or taxes), note in Chinese musical scale"
4044,焊,han4,"welding, to solder/weld by heat"
4045,岱,dai4,name of a mountain in Shandong
4046,昵,ni4,familiar/to approach
4047,卅,sa4,thirty
4048,飙,biao1,whirlwind
4049,邙,mang2,name of a hill
4050,痞,pi3,swelling of the liver
4051,恫,dong4,frighten
4052,怆,chuang4,mournful/sad/grieved/sorry
4053,桀,jie2,(emperor of Xia dynasty)/cruel
4054,绶,shou4,cord on a seal
4055,裆,dang1,crotch/seat of a pair of trousers
4056,盂,yu2,container/cup
4057,桧,gui4,Juniperus chinensis
4058,蚓,yin3,earthworm
4059,抠,kou1,dig out (with finger)/stingy
4060,嗷,ao2,loud clamor/the sound of wailing
4061,槌,chui2,hammer/mallet/pestle
4062,痘,dou4,small pox
4063,痢,li4,dysentery
4064,芮,rui4,(surname)/small
4065,蚣,gong1,scolopendra centipede
4066,闩,shuan1,to bolt
4067,铿,keng1,jingling of metals/to strike
4068,飓,ju4,hurricane
4069,蝌,ke1,tadpole
4070,撅,jue1,break off/stick up (as a tail)
4071,蚯,qiu1,earthworm
4072,斡,wo4,to turn
4073,窠,ke1,nest
4074,荚,jia2,pod
4075,砚,yan4,ink-stone
4076,牒,die2,(official) document/dispatch
4077,赈,zhen4,to relieve (the distressed)
4078,嗫,nie4,move the mouth as in speaking
4079,耙,ba4/pa2,"a rake/harrow, a rake"
4080,榕,rong2,banyan tree/Ficus wightiana
4081,鞑,da2,Tartar/a tribe in China
4082,袤,mao4,length/distance from north to south
4083,谌,chen2,(surname)/faithful/sincere
4084,醺,xun1,helplessly intoxicated
4085,秆,gan3,stalks of grain
4086,徨,huang2,irresolute
4087,橹,lu3,sculling oar
4088,翡,fei3,green jade/kingfisher
4089,缨,ying1,tassel of hat
4090,锹,qiao1,shovel/to dig
4091,嵇,ji1,(surname)/name of a mountain
4092,圪,ge1,(phonetic)
4093,辎,zi1,milit. supply
4094,痣,zhi4,birthmark/mole
4095,娩,mian3/wan3,"give birth to a child, complaisant/agreeable"
4096,谄,chan3,flatter/cajole
4097,蛐,qu1,cricket
4098,鹞,yao4,sparrow hawk/Accipiter nisus
4099,翱,ao2,soar/hover
4100,庖,pao2,kitchen
4101,籁,lai4,music/musical pipe with 3 reeds
4102,鳗,man2,eel/Anguilla lostoniensis
4103,疟,nue4/yao4,"malaria, malaria"
4104,嚅,ru2,chattering
4105,瘀,yu1,hematoma/contusion/extravasted
4106,颔,han4,chin/nod assent
4107,黜,chu4,dismiss/expel
4108,黠,xia2,(phonetic)/crafty
4109,濑,lai4,name of a river/rushing of water
4110,馁,nei3,hungry
4111,洵,xun2,truly/whirlpool
4112,忐,tan3,nervous
4113,忑,te4,nervous
4114,砥,di3,baffle (pier)/whetstone
4115,咂,za1,smack one's lips
4116,罹,li2,happen to/sorrow/suffer from
4117,糠,kang1,husk
4118,匝,za1,go round
4119,偃,yan3,(surname)/to lie supine/to stop/to fall down
4120,淙,cong2,noise of water
4121,纫,ren4,to string/to thread (needle)
4122,喏,re3/nuo4,to salute/make one's curtsy
4123,闾,lu:2/lv2,gate of a village/village
4124,祛,qu1,to exercise
4125,蛰,zhe2/zhi2,"hibernate, hibernate"
4126,涝,lao4,flooded
4127,曜,yao4,dazzle/glorious
4128,厩,jiu4,a stable
4129,疽,ju1,gangrene
4130,闰,run4,intercalary
4131,洄,hui2,eddy/whirlpool
4132,藓,xian3,mosses on damp walls
4133,璜,huang2,semi-circular jade ornament
4134,铬,ge4,chromium
4135,渥,wo4,enrich/moisten
4136,靼,da2,(phonetic)/dressed leather
4137,酗,xu4,drunk
4138,苓,ling2,fungus/tuber
4139,噤,jin4,unable to speak/silent
4140,咫,zhi3,8 in. length unit of Zhou dynasty
4141,椿,chun1/chun2,"Cedrela chinensis/father, tree of heaven"
4142,鲫,ji4,bastard carp/sand perch
4143,锭,ding4,ingot
4144,罔,wang3,deceive/there is none
4145,锺,zhong1,(ancient measure)/(surname)
4146,匍,pu2,crawl/lie prostrate
4147,祗,zhi1,respectful (ly)
4148,锰,meng3,manganese
4149,岌,ji2,lofty peak/perilous
4150,馀,yu2,remainder
4151,畹,wan3,a field of 20 or 30 mu
4152,糯,nuo4,glutinous rice
4153,胫,jing4,lower part of leg
4154,熠,yi4,to glow/flash
4155,銮,luan2,imperial
4156,沅,yuan2,name of a river
4157,棣,di4,Kerria japonica
4158,旌,jing1,banner/make manifest
4159,豌,wan1,peas
4160,孢,bao1,spore
4161,镭,lei2,radium
4162,驸,fu4,prince consort
4163,腌,yan1,to salt/pickle
4164,盹,dun3,doze/nap
4165,熵,shang1,entropy
4166,镐,gao3/hao4,"a pick, bright/place name/stove"
4167,馐,xiu1,delicacies
4168,嘤,ying1,calling of birds
4169,癞,lai4,scabies/skin disease
4170,骰,tou2,cuboid bone/dice
4171,韭,jiu3,leek
4172,阖,ge2/he2,"council-chamber/shelf/side door, entire (family)"
4173,瞑,ming2,close the eyes
4174,裨,bi4/pi2,"to benefit/to aid/advantageous/profitable, (surname)/assistant/small"
4175,宕,dang4,dissipated/put off
4176,戾,li4,do violence/go against
4177,镌,juan1,degrade/engrave (wood or stone)
4178,溟,ming2,drizzle/sea
4179,牍,du2,documents
4180,隽,jun4,smart/eminent/talented
4181,婊,biao3,prostitute
4182,鹄,gu3/hu2,swan/white-haired
4183,埂,geng3,channel for irrigation
4184,拄,zhu3,post/prop
4185,娲,wa1,(surname)/sister of Fu2 Xi1
4186,虬,qiu2,young dragon with horns
4187,萱,xuan1,Hemerocallis flava
4188,蠡,li2/li3,"calabash, wood-boring insect"
4189,芋,yu4,Colocasia antiquorum
4190,胭,yan1,rouge
4191,豺,chai2,ravenous beast/wolves (collect.)
4192,啻,chi4,(not) just/(not) only
4193,褛,lu:3/lv3,soiled/tattered
4194,蛆,qu1,maggot
4195,柠,ning2,lemon
4196,掰,bai1,to break with both hands
4197,篆,zhuan4,seal characters
4198,倌,guan1,a groom
4199,咛,ning2,enjoin
4200,蛭,zhi4,fluke/leech/hirudinea
